"LogD","All_fragments","Counts","All_fragments_h","AMW","SMILES_H"
1.429,"*CCCCCC(*)=O",1,"CCCCCC=O",100.16099999999999,"[H]C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]"
2.636,"*Cc1ccc(Br)o1",1,"Cc1ccc(Br)o1",160.99800000000002,"[H]c1c(Br)oc(C([H])([H])[H])c1[H]"
2.801,"*C(=O)/C=C/c1ccc(Br)cc1",1,"O=C/C=C/c1ccc(Br)cc1",211.058,"[H]C(=O)/C([H])=C(\[H])c1c([H])c([H])c(Br)c([H])c1[H]"
0.428,"*OCC=C",1,"C=CCO",58.08,"[H]OC([H])([H])C([H])=C([H])[H]"
-1.054,"*C(=O)C(*)C#N",1,"N#CCC=O",69.063,"[H]C(=O)C([H])([H])C#N"
2.325,"*C(=O)COc1ccc(Cl)cc1",1,"O=CCOc1ccc(Cl)cc1",170.59499999999997,"[H]C(=O)C([H])([H])Oc1c([H])c([H])c(Cl)c([H])c1[H]"
2.815,"*N/N=C/c1ccc(OC(=O)c2ccccc2Cl)cc1",1,"N/N=C/c1ccc(OC(=O)c2ccccc2Cl)cc1",274.707,"[H]/C(=N\N([H])[H])c1c([H])c([H])c(OC(=O)c2c([H])c([H])c([H])c([H])c2Cl)c([H])c1[H]"
2.018,"*N=Cc1ccc(OCC=C)c(OC)c1",1,"C=CCOc1ccc(C=N)cc1OC",191.22999999999996,"[H]N=C([H])c1c([H])c([H])c(OC([H])([H])C([H])=C([H])[H])c(OC([H])([H])[H])c1[H]"
0.307,"*Nc1ccc(O)c(C(*)=O)c1",1,"Nc1ccc(O)c(C=O)c1",137.138,"[H]Oc1c([H])c([H])c(N([H])[H])c([H])c1C([H])=O"
1.029,"*C(C)C(=O)Nc1ccc(O)c(C(=O)O)c1",1,"CCC(=O)Nc1ccc(O)c(C(=O)O)c1",209.20099999999996,"[H]OC(=O)c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])[H])c([H])c([H])c1O[H]"
1.242,"*N/N=C/c1ccccc1C(*)=O",1,"N/N=C/c1ccccc1C=O",148.16499999999996,"[H]C(=O)c1c([H])c([H])c([H])c([H])c1/C([H])=N/N([H])[H]"
2.587,"*C1CCCCC1",1,"C1CCCCC1",84.162,"[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]"
-0.051,"*OC(C)C",1,"CC(C)O",60.096000000000004,"[H]OC([H])(C([H])([H])[H])C([H])([H])[H]"
2.954,"*C(=O)/C(C#N)=C/c1ccc(*)c(OCC)c1",1,"CCOc1cccc(/C=C(\C#N)C=O)c1",201.22499999999997,"[H]C(=O)/C(C#N)=C(\[H])c1c([H])c([H])c([H])c(OC([H])([H])C([H])([H])[H])c1[H]"
0.254,"*C(C#N)C(=O)Nc1cccc(C(=O)O)c1",1,"N#CCC(=O)Nc1cccc(C(=O)O)c1",204.18499999999997,"[H]OC(=O)c1c([H])c([H])c([H])c(N([H])C(=O)C([H])([H])C#N)c1[H]"
0.207,"*Nc1cccc(C(=O)O)c1",1,"Nc1cccc(C(=O)O)c1",137.138,"[H]OC(=O)c1c([H])c([H])c([H])c(N([H])[H])c1[H]"
2.798,"*c1cc2nc(C3CCOCC3)cc(*)c2cc1OC",1,"COc1ccc2nc(C3CCOCC3)ccc2c1",243.30599999999995,"[H]c1c(OC([H])([H])[H])c([H])c2c([H])c([H])c(C3([H])C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])nc2c1[H]"
2.154,"*N=Cc1c(C)nn(-c2ccccc2)c1Cl",1,"Cc1nn(-c2ccccc2)c(Cl)c1C=N",219.67499999999998,"[H]N=C([H])c1c(C([H])([H])[H])nn(-c2c([H])c([H])c([H])c([H])c2[H])c1Cl"
-0.341,"*NCCN(CC)CC",1,"CCN(CC)CCN",116.20800000000001,"[H]N([H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]"
-1.628,"*C(=O)CC[N+](C)(C)CCO",1,"C[N+](C)(CCO)CCC=O",146.21,"[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])=O"
0.904,"*N1C(=O)/C(=C\c2cccn2C)C(=O)NC1=S",1,"Cn1cccc1C=C1C(=O)NC(=S)NC1=O",235.268,"[H]C(=C1C(=O)N([H])C(=S)N([H])C1=O)c1c([H])c([H])c([H])n1C([H])([H])[H]"
0.88,"*Cc1cccn1C",1,"Cc1cccn1C",95.14500000000001,"[H]c1c([H])c(C([H])([H])[H])n(C([H])([H])[H])c1[H]"
2.524,"*Cc1cc2c(cc1[N+](=O)[O-])OCO2",1,"Cc1cc2c(cc1[N+](=O)[O-])OCO2",181.14699999999996,"[H]c1c2c(c([H])c(C([H])([H])[H])c1[N+](=O)[O-])OC([H])([H])O2"
0.205,"*C(=O)c1ccc(=O)oc1",1,"O=Cc1ccc(=O)oc1",124.09499999999997,"[H]C(=O)c1c([H])oc(=O)c([H])c1[H]"
2.025,"*Cc1cccn1-c1ccc(O)cc1",1,"Cc1cccn1-c1ccc(O)cc1",173.215,"[H]Oc1c([H])c([H])c(-n2c([H])c([H])c([H])c2C([H])([H])[H])c([H])c1[H]"
2.255,"*N/N=C/c1cccc(F)c1",1,"N/N=C/c1cccc(F)c1",138.14499999999998,"[H]/C(=N\N([H])[H])c1c([H])c([H])c([H])c(F)c1[H]"
0.913,"*c1ccc(/C=C2\SC(=S)N(CCC(=O)O)C2=O)o1",1,"O=C(O)CCN1C(=O)/C(=C/c2ccco2)SC1=S",283.33000000000004,"[H]OC(=O)C([H])([H])C([H])([H])N1C(=O)/C(=C(\[H])c2oc([H])c([H])c2[H])SC1=S"
-1.63,"*CCS(=O)(=O)O",1,"CCS(=O)(=O)O",110.13399999999999,"[H]OS(=O)(=O)C([H])([H])C([H])([H])[H]"
2.934,"*C(=O)c1cc2cc(Br)ccc2o1",1,"O=Cc1cc2cc(Br)ccc2o1",225.041,"[H]C(=O)c1oc2c([H])c([H])c(Br)c([H])c2c1[H]"
0.537,"*c1ccc2nncn2c1",1,"c1ccn2cnnc2c1",119.12699999999998,"[H]c1c([H])c([H])n2c([H])nnc2c1[H]"
