"LogD","All_fragments","Counts","All_fragments_h","AMW","SMILES_H"
2.481,"*c1ncc(-c2ccc(OC)cc2)o1",1,"COc1ccc(-c2cnco2)cc1",175.187,"[H]c1nc([H])c(-c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])o1"
2.051,"*N=CCc1ccccc1",1,"N=CCc1ccccc1",119.16699999999996,"[H]N=C([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H]"
2.697,"*C1(C(C)C)CC=C(CO)CC1",1,"CC(C)C1CC=C(CO)CC1",154.25299999999996,"[H]OC([H])([H])C1=C([H])C([H])([H])C([H])(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H]"
1.659,"*CC(C)(C)OCC",1,"CCOC(C)(C)C",102.17699999999999,"[H]C([H])([H])C([H])([H])OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]"
-0.644,"*C(=O)C1C=CCN1*",1,"O=CC1C=CCN1",97.117,"[H]C(=O)C1([H])C([H])=C([H])C([H])([H])N1[H]"
-1.235,"*CCCNCCCCNCCCN",1,"CCCNCCCCNCCCN",187.33099999999996,"[H]N([H])C([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])C([H])([H])[H]"
-0.639,"*n1cncn1",1,"c1nc[nH]n1",69.067,"[H]c1nc([H])n([H])n1"
0.618,"*C1CC=CC1=O",1,"O=C1C=CCC1",82.10200000000002,"[H]C1=C([H])C([H])([H])C([H])([H])C1=O"
1.888,"*CSCC=C",1,"C=CCSC",88.17499999999998,"[H]C([H])=C([H])C([H])([H])SC([H])([H])[H]"
1.008,"*C(=S)S",1,"S=CS",78.161,"[H]SC([H])=S"
2.943,"*CCCC1=CCSSSC1",1,"CCCC1=CCSSSC1",192.374,"[H]C1=C(C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])SSSC1([H])[H]"
-2.025,"*NC(C)C(=O)C(N)=O",1,"CC(N)C(=O)C(N)=O",116.11999999999999,"[H]N([H])C(=O)C(=O)C([H])(N([H])[H])C([H])([H])[H]"
2.963,"*c1ccc(C=Nc2ccc(C#N)cc2)cc1",1,"N#Cc1ccc(N=Cc2ccccc2)cc1",206.24800000000002,"[H]C(=Nc1c([H])c([H])c(C#N)c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H]"
-0.573,"*N=c1cc(CO)c(=O)c(=N*)c1=O",1,"N=c1cc(CO)c(=O)c(=N)c1=O",166.13599999999997,"[H]N=c1c([H])c(C([H])([H])O[H])c(=O)c(=N[H])c1=O"
1.369,"*CCCCCCCCCOS(=O)(=O)O",1,"CCCCCCCCCOS(=O)(=O)O",224.322,"[H]OS(=O)(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]"
-0.338,"*N1CC(C)OC(C)C1",1,"CC1CNCC(C)O1",115.17599999999999,"[H]N1C([H])([H])C([H])(C([H])([H])[H])OC([H])(C([H])([H])[H])C1([H])[H]"
-0.475,"*C(=O)C1=NC(C(=O)O)CCSC1",1,"O=CC1=NC(C(=O)O)CCSC1",187.21999999999997,"[H]OC(=O)C1([H])N=C(C([H])=O)C([H])([H])SC([H])([H])C1([H])[H]"
2.553,"*C(=O)CCCCc1ccccc1",1,"O=CCCCCc1ccccc1",162.232,"[H]C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H]"
-0.469,"*C(=O)CC(C)(C)CC(=O)O",1,"CC(C)(CC=O)CC(=O)O",144.17,"[H]OC(=O)C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])=O"
-0.953,"*CS(C)(=O)=O",1,"CS(C)(=O)=O",94.13499999999999,"[H]C([H])([H])S(=O)(=O)C([H])([H])[H]"
0.572,"*C1CC(c2cccnc2)N(C)C1=O",1,"CN1C(=O)CCC1c1cccnc1",176.21900000000002,"[H]c1nc([H])c(C2([H])N(C([H])([H])[H])C(=O)C([H])([H])C2([H])[H])c([H])c1[H]"
2.032,"*CCC1C(C*)OC2CC1O2",1,"CCC1C(C)OC2CC1O2",142.19799999999998,"[H]C([H])([H])C([H])([H])C1([H])C([H])(C([H])([H])[H])OC2([H])OC1([H])C2([H])[H]"
0.198,"*C=N",1,"C=N",29.041999999999998,"[H]N=C([H])[H]"
1.425,"*C1CCN(C(=O)OCC)CC1",1,"CCOC(=O)N1CCCCC1",157.21299999999997,"[H]C([H])([H])C([H])([H])OC(=O)N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]"
2.611,"*N1CCC(c2noc3cc(F)ccc23)CC1",1,"Fc1ccc2c(C3CCNCC3)noc2c1",220.24699999999999,"[H]c1c(F)c([H])c2onc(C3([H])C([H])([H])C([H])([H])N([H])C([H])([H])C3([H])[H])c2c1[H]"
0.658,"*C(=O)CC1(CN)CCCCC1",1,"NCC1(CC=O)CCCCC1",155.24099999999996,"[H]C(=O)C([H])([H])C1(C([H])([H])N([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]"
2.284,"*CCC(=CCCCCCCCC(=O)O)[N+](=O)[O-]",1,"CCC(=CCCCCCCCC(=O)O)[N+](=O)[O-]",243.30299999999997,"[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C([N+](=O)[O-])C([H])([H])C([H])([H])[H]"
0.643,"*c1noc(C)c1*",1,"Cc1ccno1",83.09,"[H]c1noc(C([H])([H])[H])c1[H]"
-1.785,"*NC(CSN=O)C(*)=O",1,"NC(C=O)CSN=O",134.16,"[H]C(=O)C([H])(N([H])[H])C([H])([H])SN=O"
-0.931,"*Nc1c(N)nc[nH]c1=N",1,"N=c1[nH]cnc(N)c1N",125.13500000000002,"[H]N=c1c(N([H])[H])c(N([H])[H])nc([H])n1[H]"
-0.301,"*C(=O)CCCCC1C2NC(=O)NC2CS1(=O)=O",1,"O=CCCCCC1C2NC(=O)NC2CS1(=O)=O",260.315,"[H]C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])C2([H])N([H])C(=O)N([H])C2([H])C([H])([H])S1(=O)=O"
-0.503,"*NCCSC(=O)C=C(C)C(=O)O",1,"CC(=CC(=O)SCCN)C(=O)O",189.236,"[H]OC(=O)C(=C([H])C(=O)SC([H])([H])C([H])([H])N([H])[H])C([H])([H])[H]"
2.233,"*NCC(OC)c1ccc(OCC=C(C)C)cc1",1,"COC(CN)c1ccc(OCC=C(C)C)cc1",235.32699999999997,"[H]C(=C(C([H])([H])[H])C([H])([H])[H])C([H])([H])Oc1c([H])c([H])c(C([H])(OC([H])([H])[H])C([H])([H])N([H])[H])c([H])c1[H]"
-1.134,"*C(C[S+]([O-])CC=C)C(=O)O",1,"C=CC[S+]([O-])CCC(=O)O",162.20999999999998,"[H]OC(=O)C([H])([H])C([H])([H])[S+]([O-])C([H])([H])C([H])=C([H])[H]"
2.464,"*C(C#CC#CCCC(=O)OC)C=C",1,"C=CCC#CC#CCCC(=O)OC",176.21499999999997,"[H]C([H])=C([H])C([H])([H])C#CC#CC([H])([H])C([H])([H])C(=O)OC([H])([H])[H]"
2.385,"*C(=O)CC=CCC#CC#CC(*)C=C",1,"C=CCC#CC#CCC=CCC=O",172.22699999999998,"[H]C(=O)C([H])([H])C([H])=C([H])C([H])([H])C#CC#CC([H])([H])C([H])=C([H])[H]"
1.965,"*CC(=O)OCc1ccccc1",1,"CC(=O)OCc1ccccc1",150.177,"[H]c1c([H])c([H])c(C([H])([H])OC(=O)C([H])([H])[H])c([H])c1[H]"
0.245,"*c1ccccc1C[S+]([O-])CC",1,"CC[S+]([O-])Cc1ccccc1",168.26100000000002,"[H]c1c([H])c([H])c(C([H])([H])[S+]([O-])C([H])([H])C([H])([H])[H])c([H])c1[H]"
1.823,"*C(=O)c1c(*)cccc1C(C)=NOC",1,"CON=C(C)c1ccccc1C=O",177.20299999999997,"[H]C(=O)c1c([H])c([H])c([H])c([H])c1C(=NOC([H])([H])[H])C([H])([H])[H]"
0.778,"*CC#CC#C",1,"C#CC#CC",64.08699999999999,"[H]C#CC#CC([H])([H])[H]"
1.301,"*C(=O)c1cn(CC)c2nc(C)ccc2c1=O",1,"CCn1cc(C=O)c(=O)c2ccc(C)nc21",216.23999999999998,"[H]C(=O)c1c([H])n(C([H])([H])C([H])([H])[H])c2nc(C([H])([H])[H])c([H])c([H])c2c1=O"
-0.088,"*C(=O)C(CC)C(*)=O",1,"CCC(C=O)C=O",100.11699999999999,"[H]C(=O)C([H])(C([H])=O)C([H])([H])C([H])([H])[H]"
1.094,"*c1ccco1",1,"c1ccoc1",68.07499999999999,"[H]c1oc([H])c([H])c1[H]"
2.212,"*N1c2ccccc2C2(CN=C(SC)S2)C1O",1,"CSC1=NCC2(S1)c1ccccc1NC2O",252.36400000000003,"[H]OC1([H])N([H])c2c([H])c([H])c([H])c([H])c2C12SC(SC([H])([H])[H])=NC2([H])[H]"
0.752,"*OCC1=COC(*)C2C1=CC(*)C2(O)CCl",1,"OCC1=COCC2C1=CCC2(O)CCl",216.66399999999996,"[H]OC([H])([H])C1=C([H])OC([H])([H])C2([H])C1=C([H])C([H])([H])C2(O[H])C([H])([H])Cl"
2.296,"*CC1=CC(O*)C(*)C(OC(=O)c2ccccc2)C1*",1,"CC1=CC(O)CC(OC(=O)c2ccccc2)C1",232.279,"[H]OC1([H])C([H])=C(C([H])([H])[H])C([H])([H])C([H])(OC(=O)c2c([H])c([H])c([H])c([H])c2[H])C1([H])[H]"
0.569,"*CC(C)=CC#N",1,"CC(C)=CC#N",81.11800000000001,"[H]C(C#N)=C(C([H])([H])[H])C([H])([H])[H]"
-0.406,"*NS(=O)(=O)c1c(-c2nnn(C)n2)cnn1C",1,"Cn1nnc(-c2cnn(C)c2S(N)(=O)=O)n1",243.25199999999998,"[H]c1nn(C([H])([H])[H])c(S(=O)(=O)N([H])[H])c1-c1nnn(C([H])([H])[H])n1"
2.296,"*c1nccnc1-c1ccccc1",1,"c1ccc(-c2cnccn2)cc1",156.188,"[H]c1nc([H])c(-c2c([H])c([H])c([H])c([H])c2[H])nc1[H]"
1.385,"*CCc1cc(O)oc1O",1,"CCc1cc(O)oc1O",128.12699999999998,"[H]Oc1oc(O[H])c(C([H])([H])C([H])([H])[H])c1[H]"
1.116,"*CCCN=C=S",1,"CCCN=C=S",101.17399999999998,"[H]C([H])([H])C([H])([H])C([H])([H])N=C=S"
-0.574,"*C(=O)CC(=O)NC1(C(=O)O)CC1",1,"O=CCC(=O)NC1(C(=O)O)CC1",171.15199999999996,"[H]OC(=O)C1(N([H])C(=O)C([H])([H])C([H])=O)C([H])([H])C1([H])[H]"
0.597,"*C1C(=O)C2C(C=O)CC(=O)C2C(C)CC1(*)C",1,"CC1CC(=O)C2C(C=O)CC(=O)C2C(C)C1",222.28399999999993,"[H]C(=O)C1([H])C([H])([H])C(=O)C2([H])C1([H])C(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C2([H])C([H])([H])[H]"
0.918,"*OC(C#N)c1cccc(*)c1",1,"N#CC(O)c1ccccc1",133.14999999999998,"[H]OC([H])(C#N)c1c([H])c([H])c([H])c([H])c1[H]"
-1.203,"*C(=O)C(=O)ON",1,"NOC(=O)C=O",89.05,"[H]C(=O)C(=O)ON([H])[H]"
2.688,"*C(=O)C1C(C=C(C)C)C1(C)C",1,"CC(C)=CC1C(C=O)C1(C)C",152.23699999999997,"[H]C(=O)C1([H])C([H])(C([H])=C(C([H])([H])[H])C([H])([H])[H])C1(C([H])([H])[H])C([H])([H])[H]"
2.455,"*NC(Cc1ccccc1)C(=O)SCc1ccccc1",1,"NC(Cc1ccccc1)C(=O)SCc1ccccc1",271.38499999999993,"[H]c1c([H])c([H])c(C([H])([H])SC(=O)C([H])(N([H])[H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H]"
-0.417,"*NC1C(=O)N2C(C(*)=O)=C(C=C)CSC12",1,"C=CC1=C(C=O)N2C(=O)C(N)C2SC1",210.25799999999998,"[H]C(=O)C1=C(C([H])=C([H])[H])C([H])([H])SC2([H])N1C(=O)C2([H])N([H])[H]"
0.644,"*C(=O)C1CC1",1,"O=CC1CC1",70.09100000000001,"[H]C(=O)C1([H])C([H])([H])C1([H])[H]"
0.718,"*C(*)F",1,"CF",34.033,"[H]C([H])([H])F"
2.227,"*C(F)(F)C(*)(F)C(F)(F)F",1,"FC(F)C(F)C(F)(F)F",152.03699999999998,"[H]C(F)(F)C([H])(F)C(F)(F)F"
1.347,"*C(F)=C(F)F",1,"FC=C(F)F",82.02400000000002,"[H]C(F)=C(F)F"
2.402,"*C(F)OC(F)(F)C(*)(F)C(F)(F)F",1,"FCOC(F)(F)C(F)C(F)(F)F",200.05299999999997,"[H]C([H])(F)OC(F)(F)C([H])(F)C(F)(F)F"
-0.693,"*CC#CC=C[S+](C)[O-]",1,"CC#CC=C[S+](C)[O-]",128.196,"[H]C(C#CC([H])([H])[H])=C([H])[S+]([O-])C([H])([H])[H]"
2.4,"*C(=S)NCc1ccc(*)cc1",1,"S=CNCc1ccccc1",151.234,"[H]C(=S)N([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H]"
0.498,"*C(CC(C)C)C(N)(N)O",1,"CC(C)CCC(N)(N)O",132.20700000000002,"[H]OC(N([H])[H])(N([H])[H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]"
1.789,"*CCCC1(C)CC1C=O",1,"CCCC1(C)CC1C=O",126.19899999999997,"[H]C(=O)C1([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H]"
-0.207,"*NC1CC1",1,"NC1CC1",57.096,"[H]N([H])C1([H])C([H])([H])C1([H])[H]"
0.098,"*N(C)N=CC",1,"CC=NNC",72.111,"[H]C(=NN([H])C([H])([H])[H])C([H])([H])[H]"
2.672,"*CC#CC#CC#CCC*",1,"CC#CC#CC#CCC",116.16299999999998,"[H]C([H])([H])C#CC#CC#CC([H])([H])C([H])([H])[H]"
-0.204,"*C(P)CP",1,"PCCP",94.034,"[H]P([H])C([H])([H])C([H])([H])P([H])[H]"
2.357,"*C1C=COC12C=CC(=CC#CC#CC)O2",1,"CC#CC#CC=C1C=CC2(CC=CO2)O1",198.22099999999995,"[H]C(C#CC#CC([H])([H])[H])=C1OC2(OC([H])=C([H])C2([H])[H])C([H])=C1[H]"
-2.093,"*C(=O)C1C(O)CN1CC(=O)C(*)C(O)O",1,"O=CC1C(O)CN1CC(=O)CC(O)O",203.19400000000002,"[H]OC([H])(O[H])C([H])([H])C(=O)C([H])([H])N1C([H])([H])C([H])(O[H])C1([H])C([H])=O"
-0.073,"*CC(O)CCl",1,"CC(O)CCl",94.541,"[H]OC([H])(C([H])([H])[H])C([H])([H])Cl"
0.922,"*C(=O)C(=NC)C(C)C",1,"CN=C(C=O)C(C)C",113.15999999999998,"[H]C(=O)C(=NC([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H]"
1.017,"*C(=O)C=CC=CC=CC(*)C1(C)CO1",1,"CC1(CC=CC=CC=CC=O)CO1",178.23099999999997,"[H]C(=O)C([H])=C([H])C([H])=C([H])C([H])=C([H])C([H])([H])C1(C([H])([H])[H])OC1([H])[H]"
1.751,"*CC=CC1=CC=CCC(C)=N1",1,"CC=CC1=CC=CCC(C)=N1",147.22099999999998,"[H]C1=C(C([H])=C([H])C([H])([H])[H])N=C(C([H])([H])[H])C([H])([H])C([H])=C1[H]"
0.173,"*C(=O)C(=NOC)c1csc(=N)[nH]1",1,"CON=C(C=O)c1csc(=N)[nH]1",185.208,"[H]N=c1sc([H])c(C(=NOC([H])([H])[H])C([H])=O)n1[H]"
0.684,"*NNc1ccc(CO)cc1",1,"NNc1ccc(CO)cc1",138.17,"[H]OC([H])([H])c1c([H])c([H])c(N([H])N([H])[H])c([H])c1[H]"
2.884,"*Cc1ccc(F)cc1",1,"Cc1ccc(F)cc1",110.131,"[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1F"
