"LogD","All_fragments","Counts","All_fragments_h","AMW","SMILES_H"
2.005,"*C(=O)C(C)CC=CC(C)CC(C)C(C)=O",1,"CC(=O)C(C)CC(C)C=CCC(C)C=O",210.31699999999998,"[H]C(=O)C([H])(C([H])([H])[H])C([H])([H])C([H])=C([H])C([H])(C([H])([H])[H])C([H])([H])C([H])(C(=O)C([H])([H])[H])C([H])([H])[H]"
2.998,"*CC#CCCCCCCCCCN(C)CCN(C)C(C)=O",1,"CC#CCCCCCCCCCN(C)CCN(C)C(C)=O",294.483,"[H]C([H])([H])C#CC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])[H]"
1.621,"*CC1(O)C=CC(OC(=O)c2ccccc2)C(*)C1OC(C)=O",1,"CC(=O)OC1CC(OC(=O)c2ccccc2)C=CC1(C)O",290.31500000000005,"[H]OC1(C([H])([H])[H])C([H])=C([H])C([H])(OC(=O)c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C1([H])OC(=O)C([H])([H])[H]"
-0.542,"*NC1OCC=C1CO",1,"NC1OCC=C1CO",115.13199999999998,"[H]OC([H])([H])C1=C([H])C([H])([H])OC1([H])N([H])[H]"
0.198,"*C=N",1,"C=N",29.041999999999998,"[H]N=C([H])[H]"
2.289,"*c1c(O)c(Br)cc(CO)c1Br",1,"OCc1cc(Br)c(O)cc1Br",281.931,"[H]Oc1c([H])c(Br)c(C([H])([H])O[H])c([H])c1Br"
1.981,"*NCC(OC(=O)c1ccccc1)c1ccccc1",1,"NCC(OC(=O)c1ccccc1)c1ccccc1",241.29000000000002,"[H]c1c([H])c([H])c(C(=O)OC([H])(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])N([H])[H])c([H])c1[H]"
2.907,"*CC=CCC=CC",1,"CC=CCC=CC",96.17299999999999,"[H]C(=C([H])C([H])([H])C([H])=C([H])C([H])([H])[H])C([H])([H])[H]"
-1.061,"*NC1C(=O)N2C(C(=O)O)=C(C)CSC12",1,"CC1=C(C(=O)O)N2C(=O)C(N)C2SC1",214.24599999999998,"[H]OC(=O)C1=C(C([H])([H])[H])C([H])([H])SC2([H])N1C(=O)C2([H])N([H])[H]"
0.591,"*C(=O)C(C)(O)C(C)Cl",1,"CC(Cl)C(C)(O)C=O",136.57799999999997,"[H]OC(C([H])=O)(C([H])([H])[H])C([H])(Cl)C([H])([H])[H]"
0.004,"*NC(CSC1C=CC(Br)=CC1O)C(=O)O",1,"NC(CSC1C=CC(Br)=CC1O)C(=O)O",294.17,"[H]OC(=O)C([H])(N([H])[H])C([H])([H])SC1([H])C([H])=C([H])C(Br)=C([H])C1([H])O[H]"
2.319,"*Cc1ccc(*)c(=O)cc1C(C)C",1,"Cc1cccc(=O)cc1C(C)C",162.232,"[H]c1c([H])c([H])c(=O)c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c1C([H])([H])[H]"
-0.208,"*CCCC(C)(C=C)S(=O)(=O)CCN=C(N)N",1,"C=CC(C)(CCC)S(=O)(=O)CCN=C(N)N",247.36399999999995,"[H]C([H])=C([H])C(C([H])([H])[H])(C([H])([H])C([H])([H])C([H])([H])[H])S(=O)(=O)C([H])([H])C([H])([H])N=C(N([H])[H])N([H])[H]"
-0.982,"*CCC(O)C(C)N",1,"CCC(O)C(C)N",103.165,"[H]OC([H])(C([H])([H])C([H])([H])[H])C([H])(N([H])[H])C([H])([H])[H]"
2.009,"*CCCC#CC#C",1,"C#CC#CCCC",92.14099999999999,"[H]C#CC#CC([H])([H])C([H])([H])C([H])([H])[H]"
1.068,"*C(=O)C(C)N(C(=O)CCl)c1c(C)cccc1C",1,"Cc1cccc(C)c1N(C(=O)CCl)C(C)C=O",253.72899999999998,"[H]C(=O)C([H])(N(C(=O)C([H])([H])Cl)c1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H])C([H])([H])[H]"
2.547,"*NCCc1ccc(OCC=C(C)C)cc1",1,"CC(C)=CCOc1ccc(CCN)cc1",205.30099999999996,"[H]C(=C(C([H])([H])[H])C([H])([H])[H])C([H])([H])Oc1c([H])c([H])c(C([H])([H])C([H])([H])N([H])[H])c([H])c1[H]"
