"LogD","IDNUMBER","NEW_SMILES","AMW","SMILES_H"
2.579,"Y200-6573","COc1ccccc1NC(=O)c1cc2ccccc2oc1=N",294.31,"[H]N=c1oc2c([H])c([H])c([H])c([H])c2c([H])c1C(=O)N([H])c1c([H])c([H])c([H])c([H])c1OC([H])([H])[H]"
2.395,"8012-5574","Cc1cc(C)n(-c2cccc(Cl)c2)c(=O)c1C#N",258.70799999999997,"[H]c1c([H])c(Cl)c([H])c(-n2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c(C#N)c2=O)c1[H]"
1.367,"Y043-2319","COc1c[nH]c(C(=O)Nc2ccc(C(C)=O)cc2)cc1=O",286.28700000000003,"[H]c1c([H])c(N([H])C(=O)c2c([H])c(=O)c(OC([H])([H])[H])c([H])n2[H])c([H])c([H])c1C(=O)C([H])([H])[H]"
2.108,"Y021-7894","CC1CC(=O)c2cc(C(=O)Nc3ccccc3)c(=O)[nH]c2C1",296.326,"[H]c1c([H])c([H])c(N([H])C(=O)c2c([H])c3c(n([H])c2=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C3=O)c([H])c1[H]"
2.912,"K783-3484","O=C(O)C=CC(=O)Nc1ccc(Oc2ccccc2)cc1",283.283,"[H]OC(=O)C([H])=C([H])C(=O)N([H])c1c([H])c([H])c(Oc2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H]"
2.86,"Y503-0839","O=C(Cc1ccccc1)Nc1ccccc1[N+](=O)[O-]",256.26099999999997,"[H]c1c([H])c([H])c(C([H])([H])C(=O)N([H])c2c([H])c([H])c([H])c([H])c2[N+](=O)[O-])c([H])c1[H]"
2.043,"Y512-5961","O=C(CC(=O)c1ccccc1)C(=O)Nc1ccc(O)cc1",283.283,"[H]Oc1c([H])c([H])c(N([H])C(=O)C(=O)C([H])([H])C(=O)c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H]"
2.728,"Y032-3004","CC(=Cc1ccccc1)C(=O)Nc1ccc(C(N)=O)cc1",280.32699999999994,"[H]C(=C(C(=O)N([H])c1c([H])c([H])c(C(=O)N([H])[H])c([H])c1[H])C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H]"
2.832,"Y511-2063","CC(=O)C(=Cc1ccccc1)C(=O)Nc1ccccc1C",279.33900000000006,"[H]C(=C(C(=O)N([H])c1c([H])c([H])c([H])c([H])c1C([H])([H])[H])C(=O)C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H]"
1.427,"8012-4367","Cc1ccc(-n2c(C)cc(C)c(C(N)=O)c2=O)cc1",256.30499999999995,"[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1-n1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c(C(=O)N([H])[H])c1=O"
2.874,"0076-0014","COc1ccc(NC(=O)c2ccccc2F)c([N+](=O)[O-])c1",290.25000000000006,"[H]c1c([H])c([H])c(C(=O)N([H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[N+](=O)[O-])c(F)c1[H]"
1.184,"P684-0004","Cc1ccc(NC(=O)c2c(O)[nH]c3c(cnn3C)c2=O)cc1",298.3020000000001,"[H]Oc1c(C(=O)N([H])c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])c(=O)c2c([H])nn(C([H])([H])[H])c2n1[H]"
2.128,"D384-0002","CCC(=O)Nc1ccccc1-c1nc2ccccc2[nH]c1=O",293.326,"[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])[H])c(-c2nc3c([H])c([H])c([H])c([H])c3n([H])c2=O)c1[H]"
2.545,"8003-3479","CC(=O)N=C(Cc1ccccc1)C(=O)Nc1ccccc1C",294.35400000000004,"[H]c1c([H])c([H])c(C([H])([H])C(=NC(=O)C([H])([H])[H])C(=O)N([H])c2c([H])c([H])c([H])c([H])c2C([H])([H])[H])c([H])c1[H]"
2.684,"Y513-1617","CCOc1ccc(NC(=O)c2ccccc2)c(N)c1",256.305,"[H]c1c([H])c([H])c(C(=O)N([H])c2c([H])c([H])c(OC([H])([H])C([H])([H])[H])c([H])c2N([H])[H])c([H])c1[H]"
2.21,"G650-0077","O=C(Nc1ccc(F)cc1)c1c(O)[nH]c2ccccc2c1=O",298.2730000000001,"[H]Oc1c(C(=O)N([H])c2c([H])c([H])c(F)c([H])c2[H])c(=O)c2c([H])c([H])c([H])c([H])c2n1[H]"
2.716,"Y010-1573","O=C(Nc1ccccc1)c1cc(=O)[nH]c2ccccc12",264.284,"[H]c1c([H])c([H])c(N([H])C(=O)c2c([H])c(=O)n([H])c3c([H])c([H])c([H])c([H])c23)c([H])c1[H]"
1.958,"C720-0054","COc1cccc(NC(=O)c2cnc3ccccn3c2=O)c1",295.29800000000006,"[H]c1nc2c([H])c([H])c([H])c([H])n2c(=O)c1C(=O)N([H])c1c([H])c([H])c([H])c(OC([H])([H])[H])c1[H]"
1.417,"C200-5145","Cc1cc(C)n(CC(=O)Nc2ccccc2)c(=O)c1C#N",281.31500000000005,"[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])n2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c(C#N)c2=O)c([H])c1[H]"
1.485,"C301-7027","O=C(Nc1ccc2[nH]c(=O)c(=O)[nH]c2c1)c1ccccc1",281.271,"[H]c1c([H])c([H])c(C(=O)N([H])c2c([H])c([H])c3c(c2[H])n([H])c(=O)c(=O)n3[H])c([H])c1[H]"
