"LogD","IDNUMBER","NEW_SMILES","AMW","SMILES_H"
-1.631,"F1294-0082","CC1(N)CCS(=O)(=O)C1",149.21499999999997,"[H]N([H])C1(C([H])([H])[H])C([H])([H])C([H])([H])S(=O)(=O)C1([H])[H]"
-0.173,"F2147-0750","OCC1(CO)COC1",118.13199999999999,"[H]OC([H])([H])C1(C([H])([H])O[H])C([H])([H])OC1([H])[H]"
2.86,"F0612-0139","CCSc1nc2c(c(=O)n1CC)SC(C)C2",256.396,"[H]C([H])([H])C([H])([H])Sc1nc2c(c(=O)n1C([H])([H])C([H])([H])[H])SC([H])(C([H])([H])[H])C2([H])[H]"
1.315,"F3379-0319","Cc1n[nH]c(C)c1C",110.15999999999998,"[H]n1nc(C([H])([H])[H])c(C([H])([H])[H])c1C([H])([H])[H]"
1.823,"F2111-0069","N#Cc1ccc(Br)o1",171.98099999999997,"[H]c1c(Br)oc(C#N)c1[H]"
-0.971,"F2189-1060","COCC(C)(O)CN",119.164,"[H]OC(C([H])([H])[H])(C([H])([H])OC([H])([H])[H])C([H])([H])N([H])[H]"
1.812,"F6543-4937","O=S(=O)(N1CCCC1)N1CCOc2ccccc2C1",282.36500000000007,"[H]c1c([H])c([H])c2c(c1[H])OC([H])([H])C([H])([H])N(S(=O)(=O)N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C2([H])[H]"
1.606,"F2124-0958","Cc1coc(C)c1C(=O)O",140.138,"[H]OC(=O)c1c(C([H])([H])[H])oc([H])c1C([H])([H])[H]"
-1.143,"F1967-0852","N=c1ccc(=O)[nH][nH]1",111.104,"[H]N=c1c([H])c([H])c(=O)n([H])n1[H]"
1.012,"F2124-0020","O=c1c(Cl)c[nH]cc1Cl",163.99099999999999,"[H]c1c(Cl)c(=O)c(Cl)c([H])n1[H]"
2.994,"F1301-0184","O=C(Nc1cc(Cl)cc(Cl)c1)C1=COCCO1",274.103,"[H]C1=C(C(=O)N([H])c2c([H])c(Cl)c([H])c(Cl)c2[H])OC([H])([H])C([H])([H])O1"
-0.548,"F2147-1061","CN(C)CC#CCN",112.176,"[H]N([H])C([H])([H])C#CC([H])([H])N(C([H])([H])[H])C([H])([H])[H]"
1.635,"F2167-9970","O=c1onc2cnc3ccccc3n12",187.15800000000002,"[H]c1c([H])c([H])c2c(nc([H])c3noc(=O)n32)c1[H]"
1.552,"F0307-0412","N=c1[nH]c(-c2ccc3c(c2)OCCO3)cs1",234.27999999999997,"[H]N=c1sc([H])c(-c2c([H])c([H])c3c(c2[H])OC([H])([H])C([H])([H])O3)n1[H]"
1.709,"F1936-0005","Oc1cccc(-c2cn[nH]c2)c1",160.17600000000002,"[H]Oc1c([H])c([H])c([H])c(-c2c([H])nn([H])c2[H])c1[H]"
1.724,"F1696-0164","Cc1ccn(S(=O)(=O)c2ccc(F)c(C)c2)n1",254.286,"[H]c1c([H])c(S(=O)(=O)n2nc(C([H])([H])[H])c([H])c2[H])c([H])c(C([H])([H])[H])c1F"
1.782,"F1386-0286","Cc1[nH]c2ccccc2c1SCCN",206.31399999999994,"[H]c1c([H])c([H])c2c(c1[H])c(SC([H])([H])C([H])([H])N([H])[H])c(C([H])([H])[H])n2[H]"
