SCAFFOLD,AMOUNT,FREQUENCY,DATABASE,DNMT1,LigBuilder,AlvaBuilder
c1ccc(CN2CCC(N=c3[nH]c(N4CCN(c5ccccc5)CC4)nc4ccccc34)CC2)cc1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
O=C(Nc1ccccc1)c1cccs1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
c1coc(-c2cc(=NC3CCN(C4CC4)CC3)c3ccc(OCCCN4CCCC4)cc3[nH]2)c1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
c1ccc(CCN2CCC(N=c3[nH]c(=NCc4ccccc4)[nH]c4ccccc34)CC2)cc1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
O=C(Nc1ccc(N=c2cc[nH]c3ccccc23)cc1)c1ccccc1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
c1coc(-c2cc(=NCC3C4CCC3CNC4)c3ccc(OCCCN4CCCC4)cc3[nH]2)c1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
c1ccc(-c2ccc(CCN=c3[nH]cnc4c3ncn4C3CCCO3)cc2)cc1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
c1ccc(CCCN=c2[nH]cnc3cc(OCC4CCN(CCNc5cccc6ccccc56)CC4)ccc23)cc1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
c1coc(-c2cc(=NC3CCNCC3)c3ccccc3[nH]2)c1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
C=c1c(=Cc2c[nH]c(=O)n(-c3ccccc3)c2=O)ccn1-c1cc2c(s1)CCCC2,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
c1coc(-c2cc(=NC3CCNCC3)c3ccc(OC4CC5(CNC5)C4)cc3[nH]2)c1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
O=C(NCc1ccc[nH]c1=O)c1cc(-c2ccc(N3CCNCC3)nc2)cc2[nH]ncc12,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
O=C(NCCc1ccccc1)c1cccnc1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
c1coc(-c2cc(=NC3CCNCC3)c3ccc(OCC4CCNCC4)cc3[nH]2)c1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
O=C1N=C(Cc2cccn2-c2ccccc2)C(=O)N1c1ccccc1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
c1ccc(C2=NCCO2)cc1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
N=c1[nH]cnc2c1ccn2CCNC(=O)Cn1cnc(C(=O)Nc2ccccc2)n1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
N=c1[nH]cnc2c1ccn2C1CCCO1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
O=S(=O)(Nc1ccccc1)c1ccc2c(c1)C1C=CCC1C(c1ccccc1)N2,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
O=C1NC(=S)SC1=Cc1ccccc1OCc1ccccc1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
N=c1[nH]c(=O)n(C2CCCO2)cc1CNCC1CCC(n2cnc3c(=N)[nH]cnc32)O1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
c1ccc2c(c1)[nH]c1ccccc12,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = 1 (0.02%)
N=c1[nH]c(=O)n(C2CCCO2)cc1CCCNCC1CCC(n2cnc3c(=N)[nH]cnc32)O1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
O=C1NC(=S)N(c2ccccc2)C(=O)C1=Cc1ccco1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
O=C1NN(c2ccccc2)C(=O)C1=Cc1ccc(-c2ccccc2)o1,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
N=c1[nH]ccc2cc(CNC(=O)Cn3cnc(C(=O)Nc4ccccc4)n3)ccc12,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = missing
O=C1NC(=O)c2ccccc21,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = 1 (0.04%),denovoAlva = 7 (0.13%)
N=c1[nH]c2ccccc2c2nc(-c3ccccc3)nn12,2,0.269179004,DNMT1,DNMT1 = 2 (0.27%),denovoLig = missing,denovoAlva = 1 (0.02%)
c1ccc(-c2ccc(-c3cc(=NC4CCNCC4)c4ccc(OCCCN5CCCC5)cc4[nH]3)o2)cc1,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = missing
c1coc(-c2cc(=NCC3CCN(C4CCC4)CC3)c3ccccc3[nH]2)c1,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = missing
c1coc(-c2cc(=NCC3CCN(C4CCCCC4)CC3)c3ccc(OCCCN4CCCC4)cc3[nH]2)c1,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = missing
c1ccc(-c2ccc(C(c3ccccc3)c3ccccc3)cc2)cc1,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = missing
